"Fibonacci modulus", "Substring", "Repetitions", "Length", "Coverage"
"HASH(0x7fce928c6128)", "1,1,0,1,1,0,1,1,0", "11", "99", "99%"
"HASH(0x7fce928c8c60)", "0,1,1,0,1,1", "16", "96", "96%"
"HASH(0x7fce928c91a0)", "0,1,1,0,1,1,0,1,1,0,1,1", "8", "96", "96%"
"HASH(0x7fce928c7d08)", "1,0,1,1,0,1", "16", "96", "96%"
"HASH(0x7fce928c8248)", "1,0,1,1,0,1,1,0,1,1,0,1", "8", "96", "96%"
"HASH(0x7fce928c4d98)", "1,1,0,1,1,0", "16", "96", "96%"
"HASH(0x7fce928c63c8)", "1,1,0,1,1,0,1,1,0,1,1,0", "8", "96", "96%"
"HASH(0x7fce928c8f00)", "0,1,1,0,1,1,0,1,1", "10", "90", "90%"
"HASH(0x7fce928c9470)", "0,1,1,0,1,1,0,1,1,0,1,1,0,1,1", "6", "90", "90%"
"HASH(0x7fce928cc738)", "0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1", "5", "90", "90%"
"HASH(0x7fce928c7fa8)", "1,0,1,1,0,1,1,0,1", "10", "90", "90%"
"HASH(0x7fce928c8518)", "1,0,1,1,0,1,1,0,1,1,0,1,1,0,1", "6", "90", "90%"
"HASH(0x7fce928c87e0)", "1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1", "5", "90", "90%"
"HASH(0x7fce928c76c0)", "1,1,0,1,1,0,1,1,0,1,1,0,1,1,0", "6", "90", "90%"
"HASH(0x7fce928c7960)", "1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0", "5", "90", "90%"
"HASH(0x7fce918a5a80)", "0,2,2,1,0,1,1,2", "12", "96", "96%"
"HASH(0x7fce918a61d0)", "0,2,2,1,0,1,1,2,0,2,2,1,0,1,1,2", "6", "96", "96%"
"HASH(0x7fce928ccd50)", "1,1,2,0,2,2,1,0", "12", "96", "96%"
"HASH(0x7fce928cd4a0)", "1,1,2,0,2,2,1,0,1,1,2,0,2,2,1,0", "6", "96", "96%"
"HASH(0x7fce918a1bd0)", "1,2,0,2,2,1,0,1", "12", "96", "96%"
"HASH(0x7fce918a2320)", "1,2,0,2,2,1,0,1,1,2,0,2,2,1,0,1", "6", "96", "96%"
"HASH(0x7fce918a3b28)", "2,0,2,2,1,0,1,1", "12", "96", "96%"
"HASH(0x7fce918a4278)", "2,0,2,2,1,0,1,1,2,0,2,2,1,0,1,1", "6", "96", "96%"
"HASH(0x7fce918ac458)", "0,1,1,2,0,2,2,1", "11", "88", "88%"
"HASH(0x7fce918ab5d8)", "1,0,1,1,2,0,2,2", "11", "88", "88%"
"HASH(0x7fce918aa780)", "2,1,0,1,1,2,0,2", "11", "88", "88%"
"HASH(0x7fce918a7900)", "2,2,1,0,1,1,2,0", "11", "88", "88%"
"HASH(0x7fce918aebd0)", "0,1,1,2,0,2,2,1,0,1,1,2,0,2,2,1", "5", "80", "80%"
"HASH(0x7fce918abd50)", "1,0,1,1,2,0,2,2,1,0,1,1,2,0,2,2", "5", "80", "80%"
"HASH(0x7fce918aaed0)", "2,1,0,1,1,2,0,2,2,1,0,1,1,2,0,2", "5", "80", "80%"
"HASH(0x7fce918a8050)", "2,2,1,0,1,1,2,0,2,2,1,0,1,1,2,0", "5", "80", "80%"
"HASH(0x7fce918af230)", "1,1,2,3,1,0", "16", "96", "96%"
"HASH(0x7fce918af798)", "1,1,2,3,1,0,1,1,2,3,1,0", "8", "96", "96%"
"HASH(0x7fce918b00b0)", "1,2,3,1,0,1", "16", "96", "96%"
"HASH(0x7fce918b1618)", "1,2,3,1,0,1,1,2,3,1,0,1", "8", "96", "96%"
"HASH(0x7fce918b2008)", "2,3,1,0,1,1", "16", "96", "96%"
"HASH(0x7fce918b2548)", "2,3,1,0,1,1,2,3,1,0,1,1", "8", "96", "96%"
"HASH(0x7fce918b3f60)", "3,1,0,1,1,2", "16", "96", "96%"
"HASH(0x7fce918b44a0)", "3,1,0,1,1,2,3,1,0,1,1,2", "8", "96", "96%"
"HASH(0x7fce918b7d38)", "0,1,1,2,3,1", "15", "90", "90%"
"HASH(0x7fce918b9810)", "0,1,1,2,3,1,0,1,1,2,3,1,0,1,1,2,3,1", "5", "90", "90%"
"HASH(0x7fce918b6de0)", "1,0,1,1,2,3", "15", "90", "90%"
"HASH(0x7fce918b78b8)", "1,0,1,1,2,3,1,0,1,1,2,3,1,0,1,1,2,3", "5", "90", "90%"
"HASH(0x7fce918afd08)", "1,1,2,3,1,0,1,1,2,3,1,0,1,1,2,3,1,0", "5", "90", "90%"
"HASH(0x7fce918b1b88)", "1,2,3,1,0,1,1,2,3,1,0,1,1,2,3,1,0,1", "5", "90", "90%"
"HASH(0x7fce918b3ae0)", "2,3,1,0,1,1,2,3,1,0,1,1,2,3,1,0,1,1", "5", "90", "90%"
"HASH(0x7fce918b6a38)", "3,1,0,1,1,2,3,1,0,1,1,2,3,1,0,1,1,2", "5", "90", "90%"
"HASH(0x7fce918b8278)", "0,1,1,2,3,1,0,1,1,2,3,1", "7", "84", "84%"
"HASH(0x7fce918b7320)", "1,0,1,1,2,3,1,0,1,1,2,3", "7", "84", "84%"
"HASH(0x7fce918e24f0)", "1,1,2,3,5,1,6,0,6,6,5,4,2,6,1,0", "6", "96", "96%"
"HASH(0x7fce918e3370)", "1,2,3,5,1,6,0,6,6,5,4,2,6,1,0,1", "6", "96", "96%"
"HASH(0x7fce918e52c8)", "2,3,5,1,6,0,6,6,5,4,2,6,1,0,1,1", "6", "96", "96%"
"HASH(0x7fce918e6220)", "3,5,1,6,0,6,6,5,4,2,6,1,0,1,1,2", "6", "96", "96%"
"HASH(0x7fce918fe358)", "0,1,1,2,3,5,1,6,0,6,6,5,4,2,6,1", "5", "80", "80%"
"HASH(0x7fce918efea8)", "0,6,6,5,4,2,6,1,0,1,1,2,3,5,1,6", "5", "80", "80%"
"HASH(0x7fce918fb4d8)", "1,0,1,1,2,3,5,1,6,0,6,6,5,4,2,6", "5", "80", "80%"
"HASH(0x7fce918eaff8)", "1,6,0,6,6,5,4,2,6,1,0,1,1,2,3,5", "5", "80", "80%"
"HASH(0x7fce918f87d8)", "2,6,1,0,1,1,2,3,5,1,6,0,6,6,5,4", "5", "80", "80%"
"HASH(0x7fce918f4958)", "4,2,6,1,0,1,1,2,3,5,1,6,0,6,6,5", "5", "80", "80%"
"HASH(0x7fce918e9178)", "5,1,6,0,6,6,5,4,2,6,1,0,1,1,2,3", "5", "80", "80%"
"HASH(0x7fce918f3a00)", "5,4,2,6,1,0,1,1,2,3,5,1,6,0,6,6", "5", "80", "80%"
"HASH(0x7fce918ecf50)", "6,0,6,6,5,4,2,6,1,0,1,1,2,3,5,1", "5", "80", "80%"
"HASH(0x7fce918f9658)", "6,1,0,1,1,2,3,5,1,6,0,6,6,5,4,2", "5", "80", "80%"
"HASH(0x7fce918f1b80)", "6,5,4,2,6,1,0,1,1,2,3,5,1,6,0,6", "5", "80", "80%"
"HASH(0x7fce918f0d00)", "6,6,5,4,2,6,1,0,1,1,2,3,5,1,6,0", "5", "80", "80%"
"HASH(0x7fce918fff20)", "1,1,2,3,5,0,5,5,2,7,1,0", "8", "96", "96%"
"HASH(0x7fce91900d78)", "1,2,3,5,0,5,5,2,7,1,0,1", "8", "96", "96%"
"HASH(0x7fce91903cd0)", "2,3,5,0,5,5,2,7,1,0,1,1", "8", "96", "96%"
"HASH(0x7fce91905c28)", "3,5,0,5,5,2,7,1,0,1,1,2", "8", "96", "96%"
"HASH(0x7fce919162b0)", "0,1,1,2,3,5,0,5,5,2,7,1", "7", "84", "84%"
